"","Infected_tp12_rep1","Infected_tp12_rep2","Infected_tp12_rep3","Infected_tp15_rep1","Infected_tp15_rep2","Infected_tp15_rep3","Infected_tp18_rep1","Infected_tp18_rep2","Infected_tp18_rep3","Infected_tp21_rep1","Infected_tp21_rep2","Infected_tp21_rep3","Infected_tp24_rep1","Infected_tp24_rep2","Infected_tp24_rep3","Infected_tp27_rep1","Infected_tp27_rep2","Infected_tp27_rep3","Infected_tp30_rep1","Infected_tp30_rep2","Infected_tp30_rep3","Infected_tp33_rep1","Infected_tp33_rep2","Infected_tp33_rep3","Infected_tp36_rep1","Infected_tp36_rep2","Infected_tp36_rep3","Infected_tp39_rep1","Infected_tp39_rep2","Infected_tp39_rep3","Infected_tp42_rep1","Infected_tp42_rep2","Infected_tp42_rep3","Infected_tp45_rep1","Infected_tp45_rep2","Infected_tp45_rep3","Infected_tp48_rep1","Infected_tp48_rep2","Infected_tp48_rep3","Infected_tp51_rep1","Infected_tp51_rep2","Infected_tp51_rep3","Infected_tp54_rep1","Infected_tp54_rep2","Infected_tp54_rep3","Infected_tp9_rep1","Infected_tp9_rep2","Infected_tp9_rep3","Mock_tp12_rep1","Mock_tp12_rep2","Mock_tp12_rep3","Mock_tp15_rep1","Mock_tp15_rep2","Mock_tp15_rep3","Mock_tp18_rep1","Mock_tp18_rep2","Mock_tp18_rep3","Mock_tp21_rep1","Mock_tp21_rep2","Mock_tp21_rep3","Mock_tp24_rep1","Mock_tp24_rep2","Mock_tp24_rep3","Mock_tp27_rep1","Mock_tp27_rep2","Mock_tp27_rep3","Mock_tp30_rep1","Mock_tp30_rep2","Mock_tp30_rep3","Mock_tp33_rep1","Mock_tp33_rep2","Mock_tp33_rep3","Mock_tp36_rep1","Mock_tp36_rep2","Mock_tp36_rep3","Mock_tp39_rep1","Mock_tp39_rep2","Mock_tp39_rep3","Mock_tp42_rep1","Mock_tp42_rep2","Mock_tp42_rep3","Mock_tp45_rep1","Mock_tp45_rep2","Mock_tp45_rep3","Mock_tp48_rep1","Mock_tp48_rep2","Mock_tp48_rep3","Mock_tp51_rep1","Mock_tp51_rep2","Mock_tp51_rep3","Mock_tp54_rep1","Mock_tp54_rep2","Mock_tp54_rep3","Mock_tp9_rep1","Mock_tp9_rep2","Mock_tp9_rep3"
"Bcin01g00010",1.22140697716937,3.32896245301046,5.28912053072677,4.65688682634142,7.6342016287723,8.88958313064615,7.73449924445678,5.82708353527425,6.49601360527368,6.54440431437151,5.95255094100933,6.85045461455445,5.90501053517582,6.08071190270378,6.74622668708011,5.49023385090865,6.21891957681568,5.52321451844881,5.13766967828893,5.7550146770436,5.39021592938523,5.58576382714885,5.46405882586057,5.49541466352303,5.87526572459542,6.18296797066286,5.46104239541837,5.85547919524181,6.94371960539761,6.25956058530354,6.18292421936705,7.23618539595322,6.27852417677843,5.70331230546681,6.25688328738997,6.81015583449032,6.16734555697405,6.39919664168035,7.66812305537833,6.18544056475091,7.46422103541379,6.82076593415565,5.58297913644874,7.3932553106052,5.9037978437307,2.14404804391032,1.22140697716937,1.22140697716937,1.22140697716937,1.22140697716937,1.22140697716937,1.22140697716937,1.22140697716937,1.22140697716937,6.31456881574315,5.42610902335305,6.99780710905291,7.50998283270927,5.58778637719128,6.53112510187235,7.63218108563383,5.97254751530248,5.85331598903912,5.25140713365556,5.66844325186685,6.64845418305356,5.78210403832508,6.05876036027458,6.34644867879765,4.71240089517814,1.22140697716937,6.20313254385545,5.42743535369277,5.78175963495227,6.31733193228975,7.14830403286255,5.28964279725543,5.82875117118179,6.84540418474884,7.43048145263052,6.5440247127604,5.92963908287445,6.18240202794865,6.49891078898971,6.71988714162657,1.22140697716937,5.85347893194263,7.43992503173819,7.00064678594654,5.64046898236687,6.68034668766008,3.92215111439673,6.14548107216616,1.22140697716937,1.22140697716937,1.22140697716937
"Bcin01g00020",1.22140697716937,1.22140697716937,3.59907268066684,2.98846238075674,5.35660006877712,6.61675563754079,5.58477083753171,3.71299073663636,4.18171606477411,4.18326390673266,3.47189626489889,4.53744497772307,3.5995524372294,4.10129476308275,4.86663186943532,3.46873166430631,4.18160341711383,3.46989320370148,3.47313920595038,4.18655069284647,4.09952885593492,3.92355565497353,3.92561722135803,3.825236803853,4.59222152439535,5.00516894904248,4.33613591623638,4.59637162740664,5.58478621566607,5.00537223463189,4.7091183380621,5.61432982402342,4.7097866080149,4.01919356468095,4.76077051799521,5.09252583458965,4.47438698605964,4.59350797175625,5.72829685691064,4.53643036044,5.92845310428861,4.95900315490542,4.3341335294285,4.86278951571779,4.33584837002311,1.22140697716937,1.22140697716937,1.22140697716937,1.22140697716937,1.22140697716937,1.22140697716937,1.22140697716937,1.22140697716937,1.22140697716937,1.22140697716937,1.22140697716937,1.22140697716937,1.22140697716937,1.22140697716937,4.71031929563818,1.22140697716937,1.22140697716937,4.95932394282398,1.22140697716937,4.76138392208369,1.22140697716937,1.22140697716937,1.22140697716937,4.2588076453804,3.92463458862561,5.75017605784775,5.28790504677299,1.22140697716937,5.13647679200103,4.86778481076662,1.22140697716937,3.92376457360141,4.10160359175954,5.9011318819453,5.2515318962844,5.61196320630488,1.22140697716937,4.9593902791396,1.22140697716937,6.33431513695927,5.97628400571125,4.47041747482905,3.82404201424062,5.92744927328003,4.46957478663397,5.00889760889979,3.92215111439673,5.21431190355151,1.22140697716937,1.22140697716937,1.22140697716937
"Bcin01g00030",1.22140697716937,3.16959493356345,5.42844439397159,4.53787710383189,7.64133735959161,8.87755341807679,8.07810111588988,5.77604249519209,6.44797920066531,6.55957275593788,5.72832501702701,6.87498658650845,5.72768511379065,6.25861722265333,7.12893083836872,5.64065507156614,6.61664841546415,5.80419260323629,5.78301109888386,6.50195649932672,6.31115906992156,5.92827299803151,6.14809133381574,6.20658003428979,6.71417586112029,7.23479235285268,6.73265314228709,7.33679101685444,8.07811777461895,7.67194959575701,6.75738878317212,7.9166290766985,6.95469289694017,6.12844738927986,6.99666647488889,7.48674681257388,6.66643603160704,6.95222423030614,8.22076141630052,6.95650744692952,8.43291001616458,7.54685556444085,6.63320907562361,7.41006326022923,6.56173164124926,1.22140697716937,1.22140697716937,1.22140697716937,1.22140697716937,1.22140697716937,1.22140697716937,6.34742376275185,1.22140697716937,1.22140697716937,6.31456881574315,6.34896618589492,6.74284624191079,1.22140697716937,6.53421219873446,6.83564140628911,7.05670905681011,5.42691477195694,4.95932394282398,5.25140713365556,7.38528874219107,5.17341643599172,5.78210403832508,1.22140697716937,6.80609935984835,7.20991494340885,1.22140697716937,6.20313254385545,6.92004309475665,6.24443304933348,7.49699876731679,7.40521225715909,5.67261628223084,7.55511666278003,7.98293735784842,8.11985270203278,7.11554731594592,8.03238439239541,7.13646187724571,5.94955442491284,8.14631546233995,7.23908051314444,8.08157728155378,7.03483259838203,7.84415818740148,5.94786310578163,7.93119416362323,6.91957494240669,6.14548107216616,1.22140697716937,1.22140697716937,1.22140697716937
"Bcin01g00040",1.22140697716937,2.98708660335221,4.71091659817302,4.10523235169504,6.71526113144288,8.04745451790837,7.36265620640724,5.13102780939752,5.69536501587798,5.82837725002925,5.13600236694787,6.0423303578367,4.91557530557635,5.45867627345917,6.27979638390056,5.04787335882928,5.69523171437975,4.96028879750188,5.21694507583858,5.61619287262613,5.48865783470617,5.28939006606779,5.36325368796182,5.39692334259353,5.89929041215989,6.34943801933125,5.830800863331,6.31564163208868,6.86032498796321,6.70403214878105,5.99465799660698,6.89676087928512,5.85463788608496,5.36388401580483,6.16077915833839,6.56131531353127,5.8824433876929,5.99301825210184,7.2191382916397,6.10478080613282,7.57306204976308,6.58916652631618,5.80317828917503,6.48052482717102,5.75319388635683,2.14404804391032,1.22140697716937,1.22140697716937,3.92025532033401,1.22140697716937,1.22140697716937,1.22140697716937,1.22140697716937,1.22140697716937,6.31456881574315,6.34896618589492,7.40263725139429,6.54576125630371,1.22140697716937,5.5848403086532,6.10515360170706,5.42691477195694,1.22140697716937,6.71870286330747,4.76138392208369,1.22140697716937,5.78210403832508,6.05876036027458,5.13015826883532,5.90599664902396,1.22140697716937,1.22140697716937,5.42743535369277,5.495095540521,6.31733193228975,4.96095920608917,6.22418882209062,6.36645891107503,5.00397456144619,6.67766083837445,6.5440247127604,6.48649476549873,4.10141954296718,1.22140697716937,7.86369916235547,5.97628400571125,5.85347893194263,5.52529279314289,6.38539173121108,5.45797726674245,6.47088872198911,5.97263450581906,5.21431190355151,1.22140697716937,1.22140697716937,1.22140697716937
"Bcin01g00050",1.22140697716937,2.14455696603493,3.92333285096622,3.33053447343106,5.92397098459013,7.21304776537462,6.40215250933534,4.18217904470113,4.95752480244947,5.00450538418087,4.26403628054451,5.43003649271576,4.1860295175759,4.70851551972444,5.4933383362895,3.92080726675081,4.76051224305346,4.40474051927041,4.10600007584985,4.4071823697149,4.0124525622396,4.47277478491501,4.1878885726001,4.26473815956271,4.76012909724149,4.95990962312189,4.53579849742558,5.09304993950629,5.92727507273044,5.52302888095771,4.91312727609865,6.01821499939811,5.09225466394234,4.47562275275399,5.08932256493322,5.5237771901782,4.86858654142068,4.86329757426056,6.08467660339945,4.86708604464032,6.29850964214572,5.49049264735786,4.53373469296963,5.17098322915031,4.65447341737394,1.22140697716937,1.22140697716937,1.22140697716937,1.22140697716937,1.22140697716937,1.22140697716937,1.22140697716937,1.22140697716937,1.22140697716937,1.22140697716937,5.42610902335305,4.59382398215676,1.22140697716937,1.22140697716937,4.71031929563818,1.22140697716937,1.22140697716937,1.22140697716937,1.22140697716937,4.76138392208369,1.22140697716937,5.78210403832508,6.05876036027458,4.2588076453804,1.22140697716937,1.22140697716937,1.22140697716937,1.22140697716937,4.59833996444301,4.86778481076662,5.87950744440314,3.92376457360141,4.91285760058078,5.00397456144619,5.9037978437307,1.22140697716937,1.22140697716937,5.4908981520747,5.04927984417872,1.22140697716937,5.05287886670506,5.85347893194263,3.82404201424062,4.7104267472857,3.3268254332578,1.22140697716937,3.92215111439673,4.33658425751051,1.22140697716937,1.22140697716937,1.22140697716937
"Bcin01g00060",1.22140697716937,3.16959493356345,5.13477032241288,4.3381527338351,7.36783502741358,8.72142106639273,7.48698977032979,5.39103640190403,5.61050444706346,5.80308135000926,5.36173057565705,6.14683762145207,5.00760027892588,5.80308135000926,6.71941429411329,5.2860647306825,6.0787053729358,5.21255889366362,5.00985150420082,5.88160132271868,5.42378622761147,5.17521327550968,5.46405882586057,5.49541466352303,6.19927857564085,6.70380732216806,5.97390751932671,6.4358078775462,7.49492615254434,7.06468058270795,6.40086612849639,7.30987803605141,6.36751166393015,6.04423569388814,6.39844016367829,6.98903683633309,6.43839768035148,6.43251510428095,7.85842908389488,6.48531246113412,7.85140749197053,7.10536288243771,5.5529201482051,7.33283512786894,5.64324276773149,2.14404804391032,1.22140697716937,1.22140697716937,1.22140697716937,1.22140697716937,5.6691484861686,1.22140697716937,1.22140697716937,1.22140697716937,6.31456881574315,5.42610902335305,6.43287851130412,1.22140697716937,5.58778637719128,1.22140697716937,1.22140697716937,6.34981437423932,6.41702250736738,6.71870286330747,6.20067789480107,6.0817663343406,1.22140697716937,7.99394181376647,5.42371761020115,1.22140697716937,6.70209560392433,6.20313254385545,5.42743535369277,5.495095540521,5.75498765373821,4.96095920608917,5.28964279725543,6.36645891107503,5.00397456144619,7.0659029022928,6.5440247127604,7.20024562918137,6.18240202794865,5.94955442491284,5.78042329806157,8.07057612527185,6.54465503183859,6.78614361300837,7.43873449855057,6.10087399289675,5.93003721594911,5.2876908161601,5.21431190355151,1.22140697716937,1.22140697716937,1.22140697716937
"Bcin01g00070",3.32671375426042,4.10331305492267,5.77996928850323,5.36253018209207,7.26993678592225,8.66654739897291,7.96292292506116,5.39103640190403,5.69536501587798,5.82837725002925,5.00820463686152,5.95289144232821,5.1755688379318,5.39229308093084,6.10428268278513,4.9120194077013,5.58093329937558,5.00554989164805,4.81940250391372,5.46250193844731,5.170384586787,5.17521327550968,5.17768245826991,5.32729148951216,5.94616844319935,6.10231732287351,5.90413327197176,6.591755787013,7.29170087918133,6.79660848457194,5.67011741180842,6.81051411478872,5.82977736563016,5.43187176816026,6.03628661481565,6.36780554218022,5.85800080604699,6.03703124447382,7.08893213938631,5.99715191885723,7.3377015660546,6.51330819330984,5.64127285752744,6.63154382920684,5.52417240065468,3.16862721389483,3.32932460386042,2.9852583818702,1.22140697716937,1.22140697716937,1.22140697716937,1.22140697716937,4.18426405387305,1.22140697716937,5.39345125177171,6.90680850293798,7.84745924535087,1.22140697716937,6.53421219873446,6.12420689131598,6.10515360170706,5.97254751530248,4.95932394282398,1.22140697716937,1.22140697716937,1.22140697716937,5.78210403832508,1.22140697716937,5.85102385295159,5.58709825694367,5.75017605784775,6.20313254385545,5.42743535369277,5.13647679200103,6.70711275543561,1.22140697716937,5.67261628223084,5.4262328650292,7.15579524044157,6.95541364844371,6.5440247127604,1.22140697716937,5.4908981520747,6.49891078898971,6.33431513695927,6.53400958463228,5.32292116279634,4.65550328157352,5.92744927328003,5.35721867697476,4.18718897071852,6.77100557789919,5.75404495823687,1.22140697716937,4.96131955387367,6.29702568807206
"Bcin01g00080",1.22140697716937,2.50642367338377,4.26293383319155,3.33053447343106,5.58154947583916,6.63116473364127,6.45185114506981,4.4026464536348,5.1706635449047,5.13225711718476,4.59789332414858,5.32682094995045,4.8171970977588,5.04837087890507,5.58548823803018,4.59389559666671,4.91066934402,4.33500774581934,4.59946302150393,5.00818344252335,4.70657439104339,4.40631718018306,4.26537327331791,4.40792040144416,5.00225337732348,5.13292894056343,4.59653566717552,5.39446926316061,5.90363957430295,5.28746268693007,5.35855562033208,6.26069134218717,5.28792168556214,4.7679550719999,5.35626779435342,5.95028153207047,5.32728362965126,5.61137746750633,6.73420018864915,5.70030790725359,6.78601020019077,6.01589791188872,5.13234936631389,5.92381405112583,5.17441686765401,1.22140697716937,1.22140697716937,1.22140697716937,1.22140697716937,1.22140697716937,1.22140697716937,1.22140697716937,1.22140697716937,1.22140697716937,1.22140697716937,6.90680850293798,6.74284624191079,1.22140697716937,5.58778637719128,5.5848403086532,1.22140697716937,1.22140697716937,5.85331598903912,5.25140713365556,6.20067789480107,1.22140697716937,1.22140697716937,1.22140697716937,4.2588076453804,3.92463458862561,5.75017605784775,6.20313254385545,5.42743535369277,4.59833996444301,5.75498765373821,1.22140697716937,1.22140697716937,6.12256937725077,5.9011318819453,6.26075148939016,1.22140697716937,5.92963908287445,4.10141954296718,7.20642828039212,1.22140697716937,6.92335718120414,6.24014912230071,5.17550644974126,6.38539173121108,5.45797726674245,5.52671244783572,3.92215111439673,5.21431190355151,1.22140697716937,1.22140697716937,1.22140697716937
"Bcin01g00090",1.22140697716937,3.82342820591484,5.9279916837421,5.00897935696289,8.1314593282561,9.42610548415473,8.32017475569545,6.01485711696521,6.44797920066531,6.70307342181893,5.6450734393993,6.93454997117393,5.70046812688973,6.38323061653123,7.23683162160396,5.45816101912613,6.61664841546415,5.8543502369535,5.32818911124702,6.37009522676041,6.07854511062349,5.78024828062868,5.88320035155191,5.90648566023069,6.8185404974545,7.0102689884701,6.24237484236773,6.88497005586162,7.96293955991379,7.46996873286749,6.80909104100347,7.88684202684224,6.93154177616345,6.42327564612459,6.92830516579088,7.55650669973954,6.87548608767194,6.97500799092201,8.31784637402597,6.8737937583906,8.36534121734117,7.59178596378342,6.14258757209858,7.66936676906752,6.24203390292127,2.14404804391032,1.22140697716937,1.22140697716937,1.22140697716937,1.22140697716937,1.22140697716937,1.22140697716937,1.22140697716937,1.22140697716937,5.39345125177171,7.87891159902653,6.99780710905291,7.50998283270927,1.22140697716937,6.83564140628911,1.22140697716937,5.42691477195694,6.80848295838929,7.43858067394214,6.90547923027947,6.0817663343406,5.78210403832508,7.01974785641822,5.6389930729675,6.35310030299106,7.26113290124902,1.22140697716937,6.35036236342218,6.24443304933348,7.68206232707811,6.43538640994343,7.17954948020221,7.2154155153234,7.15579524044157,7.65915718738675,5.61196320630488,7.20024562918137,7.13646187724571,6.49891078898971,7.69505062229463,7.49794044583604,6.54465503183859,7.14977602726373,6.73232234787457,6.22020880884132,7.18111805999645,6.41813300367381,7.40638864108985,1.22140697716937,1.22140697716937,1.22140697716937
"Bcin01g00100",1.22140697716937,2.50642367338377,3.71597633266198,2.98846238075674,5.61098926483089,6.67354725754721,5.87959352587311,3.82051974701234,4.70683990471618,4.70851551972444,4.0173882931752,5.05240525469048,4.01686543271911,4.26068524358445,5.28912053072677,4.01375982371308,4.59259655125199,4.18419722518135,4.18804154640592,4.26401707936047,4.53175198128315,4.47277478491501,4.01866511136685,4.26473815956271,4.95700759792734,5.25020434171769,4.59653566717552,5.25167660367262,5.92727507273044,5.61323735021872,5.04899683801888,6.14455247183539,5.17375930678346,4.53911697923966,5.13064408038225,5.46032283953473,5.09543371262869,4.53279605812395,6.22492905444805,4.86708604464032,6.20488588809718,5.3576572327929,4.70860365032976,5.457201489647,4.53550213588043,1.22140697716937,1.22140697716937,1.22140697716937,1.22140697716937,1.22140697716937,1.22140697716937,1.22140697716937,1.22140697716937,1.22140697716937,1.22140697716937,5.42610902335305,5.49015550192713,6.54576125630371,1.22140697716937,1.22140697716937,1.22140697716937,1.22140697716937,1.22140697716937,1.22140697716937,4.76138392208369,1.22140697716937,1.22140697716937,1.22140697716937,5.13015826883532,3.92463458862561,1.22140697716937,5.28790504677299,1.22140697716937,3.82498288654431,1.22140697716937,1.22140697716937,1.22140697716937,4.10160359175954,5.9011318819453,5.85532828496004,5.61196320630488,5.92963908287445,5.4908981520747,5.94955442491284,5.78042329806157,5.05287886670506,5.32292116279634,4.65550328157352,5.92744927328003,4.46957478663397,5.00889760889979,1.22140697716937,4.33658425751051,1.22140697716937,1.22140697716937,1.22140697716937
"Bcin01g00110",1.22140697716937,2.14455696603493,3.32909863868383,3.17107886218732,5.69585248968631,6.91640260578444,6.31531001333623,3.92019766194298,4.33246157476368,4.53364858282552,3.92436519514497,4.86814364195962,4.01686543271911,4.18326390673266,5.00698771228945,3.59674107666799,4.18160341711383,4.01509171707574,3.33116335941534,4.01736995648389,3.91952545133051,3.7161885141897,3.71815184569262,3.71758541755297,4.4680952490578,4.70915735402609,4.26274582566281,4.86625783356712,6.08266945394675,5.42676817855877,4.76292848005715,5.95062787360833,5.04969075128107,4.59988201304841,4.95766334696874,5.5237771901782,5.00897172022447,4.86329757426056,6.22492905444805,4.86708604464032,6.18540782945241,5.61206610825899,4.26076777374602,5.61083523021252,4.71041254142935,1.22140697716937,1.22140697716937,1.22140697716937,1.22140697716937,4.71184100821416,1.22140697716937,1.22140697716937,1.22140697716937,1.22140697716937,1.22140697716937,5.42610902335305,6.43287851130412,1.22140697716937,1.22140697716937,6.12420689131598,1.22140697716937,1.22140697716937,4.95932394282398,1.22140697716937,4.76138392208369,1.22140697716937,1.22140697716937,1.22140697716937,4.76030335215522,1.22140697716937,5.75017605784775,1.22140697716937,1.22140697716937,5.13647679200103,5.75498765373821,6.43538640994343,5.28964279725543,4.10160359175954,6.4492968762228,5.80516786226477,1.22140697716937,5.00852586271774,4.10141954296718,5.04927984417872,5.78042329806157,6.53400958463228,5.32292116279634,5.17550644974126,4.7104267472857,3.71342857729544,5.00889760889979,5.67060909059187,4.33658425751051,1.22140697716937,1.22140697716937,1.22140697716937
